iter	Passed	Remaining
553	19415	15630
554	19445	15591
555	19475	15552
556	19514	15520
557	19541	15478
558	19569	15438
559	19596	15397
560	19629	15360
561	19659	15321
562	19687	15281
563	19714	15240
564	19747	15204
565	19777	15165
566	19807	15126
567	19832	15084
568	19859	15043
569	19893	15007
570	19926	14970
571	19956	14932
572	19983	14891
573	20012	14852
574	20038	14810
575	20066	14771
576	20094	14730
577	20125	14693
578	20155	14655
579	20191	14621
580	20228	14588
581	20269	14557
582	20299	14519
583	20323	14476
584	20354	14439
585	20382	14400
586	20410	14360
587	20441	14322
588	20468	14282
589	20501	14246
590	20532	14209
591	20563	14172
592	20594	14134
593	20624	14096
594	20679	14075
595	20757	14070
596	20821	14055
597	20884	14039
598	20951	14026
599	21002	14001
600	21051	13975
601	21110	13956
602	21161	13932
603	21210	13906
604	21260	13880
605	21312	13856
606	21357	13828
607	21411	13804
608	21460	13778
609	21487	13737
610	21522	13702
611	21569	13674
612	21604	13639
613	21630	13598
614	21670	13566
615	21700	13527
616	21727	13487
617	21767	13455
618	21808	13423
619	21834	13382
620	21864	13344
621	21895	13306
622	21925	13267
623	21957	13230
624	21987	13192
625	22043	13169
626	22074	13131
627	22108	13096
628	22137	13057
629	22181	13027
630	22217	12992
631	22245	12953
632	22282	12919
633	22308	12878
634	22341	12842
635	22367	12801
636	22396	12763
637	22426	12724
638	22453	12685
639	22484	12647
640	22518	12611
641	22545	12571
642	22577	12535
643	22609	12498
644	22642	12462
645	22670	12423
646	22704	12387
647	22792	12381
648	22845	12355
649	22887	12324
650	22920	12287
651	22956	12252
652	22997	12220
653	23025	12181
654	23063	12147
655	23093	12110
656	23123	12071
657	23171	12043
658	23216	12013
659	23248	11976
660	23277	11938
661	23309	11901
662	23338	11862
663	23366	11824
664	23400	11787
665	23431	11750
666	23461	11713
667	23497	11678
668	23527	11640
669	23562	11605
670	23594	11568
671	23626	11532
672	23659	11495
673	23687	11457
674	23717	11419
675	23752	11384
676	23799	11355
677	23834	11319
678	23863	11281
679	23896	11245
680	23938	11213
681	23967	11175
682	23996	11137
683	24030	11101
684	24059	11063
685	24088	11025
686	24114	10986
687	24141	10947
688	24179	10914
689	24210	10877
690	24246	10842
691	24274	10804
692	24303	10766
693	24326	10726
694	24373	10696
695	24400	10657
696	24432	10621
697	24458	10582
698	24482	10542
699	24514	10506
700	24537	10465
701	24567	10428
702	24591	10389
703	24612	10348
704	24632	10307
705	24672	10274
706	24702	10237
707	24729	10199
708	24758	10161
709	24786	10124
710	24819	10088
711	24850	10051
712	24879	10014
713	24914	9979
714	24952	9946
715	24994	9914
716	25025	9877
717	25055	9840
718	25086	9804
719	25117	9768
720	25147	9731
721	25181	9696
722	25223	9663
723	25273	9634
724	25310	9600
725	25343	9565
726	25372	9527
727	25405	9492
728	25441	9457
729	25469	9420
730	25518	9390
731	25570	9361
732	25605	9326
733	25638	9291
734	25669	9255
735	25701	9218
736	25738	9185
737	25770	9148
738	25798	9111
739	25831	9076
740	25871	9042
741	25907	9008
742	25957	8978
743	25985	8941
744	26021	8906
745	26056	8871
746	26088	8835
747	26111	8796
748	26139	8759
749	26178	8726
750	26205	8688
751	26237	8652
752	26287	8622
753	26343	8594
754	26391	8564
755	26450	8536
756	26516	8511
757	26559	8479
758	26609	8449
759	26670	8422
760	26723	8392
761	26773	8362
762	26825	8332
763	26871	8300
764	26920	8269
765	26969	8238
766	27013	8206
767	27048	8170
768	27072	8132
769	27105	8096
770	27135	8059
771	27177	8026
772	27208	7989
773	27251	7957
774	27282	7920
775	27330	7889
776	27371	7855
777	27405	7820
778	27438	7784
779	27469	7747
780	27500	7711
781	27530	7674
782	27558	7637
783	27584	7599
784	27617	7564
785	27655	7529
786	27688	7493
787	27715	7456
788	27749	7420
789	27776	7383
790	27808	7347
791	27838	7311
792	27875	7276
793	27905	7240
794	27948	7206
795	27981	7171
796	28021	7137
797	28050	7100
798	28081	7064
799	28124	7031
800	28152	6994
801	28189	6959
802	28239	6927
803	28273	6892
804	28298	6854
805	28327	6818
806	28356	6781
807	28384	6744
808	28412	6708
809	28444	6672
810	28476	6636
811	28504	6599
812	28537	6564
813	28568	6527
814	28599	6491
815	28625	6454
816	28655	6418
817	28691	6383
818	28719	6347
819	28749	6310
820	28779	6274
821	28811	6239
822	28846	6203
823	28873	6167
824	28903	6130
825	28930	6094
826	28963	6058
827	28990	6022
828	29018	5985
829	29046	5949
830	29075	5913
831	29105	5877
832	29135	5841
833	29166	5805
834	29197	5769
835	29234	5734
836	29284	5702
837	29312	5666
838	29341	5630
839	29378	5595
840	29403	5559
841	29439	5524
842	29479	5490
843	29509	5454
844	29538	5418
845	29571	5382
846	29603	5347
847	29645	5313
848	29673	5277
849	29699	5241
850	29731	5205
851	29766	5170
852	29796	5134
853	29831	5100
854	29859	5063
855	29885	5027
856	29916	4991
857	29948	4956
858	29978	4920
859	30009	4885
860	30059	4852
861	30140	4825
862	30207	4795
863	30265	4764
864	30296	4728
865	30328	4692
866	30361	4657
867	30395	4622
868	30422	4586
869	30451	4550
870	30484	4514
871	30512	4478
872	30540	4442
873	30576	4408
874	30613	4373
875	30643	4337
876	30682	4303
877	30719	4268
878	30758	4234
879	30784	4197
880	30811	4161
881	30844	4126
882	30879	4091
883	30907	4055
884	30941	4020
885	30970	3984
886	31000	3949
887	31027	3913
888	31056	3877
889	31088	3842
890	31118	3806
891	31148	3771
892	31176	3735
893	31205	3699
894	31248	3666
895	31294	3632
896	31322	3596
897	31353	3561
898	31386	3526
899	31415	3490
900	31446	3455
901	31476	3419
902	31517	3385
903	31565	3352
904	31598	3316
905	31637	3282
906	31667	3247
907	31704	3212
908	31737	3177
909	31769	3142
910	31837	3110
911	31890	3077
912	31957	3045
913	32025	3013
914	32078	2979
915	32125	2946
916	32173	2912
917	32221	2878
918	32281	2845
919	32343	2812
920	32418	2780
921	32463	2746
922	32518	2712
923	32564	2678
924	32620	2644
925	32656	2609
926	32694	2574
927	32746	2540
928	32773	2504
929	32801	2468
930	32829	2433
931	32858	2397
932	32888	2361
933	32922	2326
934	32959	2291
935	32996	2256
936	33026	2220
937	33054	2184
938	33082	2149
939	33108	2113
940	33138	2077
941	33168	2042
942	33197	2006
943	33227	1971
944	33262	1935
945	33302	1900
946	33341	1866
947	33367	1830
948	33395	1794
949	33439	1759
950	33466	1724
951	33500	1689
952	33533	1653
953	33557	1618
954	33593	1582
955	33623	1547
956	33660	1512
957	33691	1477
958	33718	1441
959	33755	1406
960	33788	1371
961	33816	1335
962	33854	1300
963	33889	1265
964	33927	1230
965	33956	1195
966	33986	1159
967	34023	1124
968	34058	1089
969	34088	1054
970	34121	1019
971	34154	983
972	34194	948
973	34226	913
974	34262	878
975	34292	843
976	34331	808
977	34381	773
978	34421	738
979	34459	703
980	34491	668
981	34526	632
982	34557	597
983	34588	562
984	34624	527
985	34655	492
986	34684	456
987	34711	421
988	34744	386
989	34770	351
990	34807	316
991	34849	281
992	34883	245
993	34932	210
994	34958	175
995	34988	140
996	35018	105
997	35047	70
998	35076	35
999	35115	0
